title,price_cleaned,bedrooms_cleaned,location_clean,post_time_category
"""ULTIMATE APT!"" BEAUTIFUL(LUXURY)4BR/3BA-VIRT DM/ELV/GYM-WD UNIT-SS-DW",17500,4,upper east side,longer than an hour but within a day
####### 3 Bedrooms apartment for rent #######,2100,3,yonkers,longer than a day but within a month
"$1,200 / 200ft2 - Upper west side!! SRO!!",1200,1,upper west side,longer than a month but within six months
"$1,3oo STUDIO ~ 1st Floor ~ UTILITIES INCLUDED",1300,1,"roosevelt avenue, main street - flushing",longer than a month but within six months
"$1,3oo STUDIO ~ UTILITIES INCLUDED",1300,1,"roosevelt avenue, main street - flushing",longer than a month but within six months
"$1,400 / 1br - 200ft2 - Dormitory Rooms available for NYC College Stud",1400,1,upper west side,longer than a month but within six months
"$1,45o 2-Level LOFT/STUDIO w/Utilities Included",1450,1,near r+m trains+m+#7 trains- off broadway,longer than a month but within six months
"$1,489 / 200ft2 - $1489 Spacious office Space Available for Start Up",1489,1,midtown,longer than a month but within six months
"$1,4oo STUDIO 1st Floor w/Yard+Driveway - PETS OK!",1400,1,near local+express #7 trains ~ no credit? no problem!,longer than a month but within six months
"$1,5oo DUPLEX/LOFT w/Utilities Included",1500,1,near r+m+#7 trains- off broadway,longer than a month but within six months
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",1600,1,lowery st,longer than a month but within six months
"$1,750 1  bedroom apt",1750,1,yonkers,longer than a month but within six months
"$1,850.00 / 2br - 920 S/f - Mariners Harbor Apartment for Rent",1850,1,staten island,longer than a month but within six months
"$1,900/Month, *utilities included, Newly Renovated 2 Br Apt Queens",1900,1,arvane,longer than a month but within six months
"$1,900/Month, Newly Renovated 2 Br Apt Queens",1900,1,arvane,longer than a month but within six months
"$1,9oo 1Bed 1Bath w/Dishwasher+W/D+Courtyard+Laundry ~ LIC, Queens",1900,1,lowery st,longer than a month but within six months
$1005__Wall Street__near Ferry__Empire Outlets_St George__Saint George,1005,1,st george,longer than a month but within six months
$1300 Bed-Study Brooklyn Studio,1300,1,brooklyn,longer than a month but within six months
"$150/night short term 1BR -Crown Heights renov 1 Bedroom Apt, Backyard",150,1,crown heights,longer than a month but within six months
$1600 /1br -Spacious 3 1/2 rooms-Private Walk in Entrance/Many Closets,1600,1,staten island,longer than a month but within six months
$1600 sudio apartment all utlities included,1600,1,bronx,longer than a month but within six months
$1800 - Adorable 1Br apartment nestled in Harlem,1800,1,harlem,longer than a month but within six months
$1800 1 bedroom apartment for rent,1800,1,bronx,longer than a month but within six months
$1800 BEAUTIFUL RENOVATED CORNER APT-EAT IN KITCHEN,1800,1,kingsbridge,longer than a month but within six months
"$2,000___1 BED__R TRAIN___LAUNDRY ___BAY RIDGE SHORE ROAD",2000,1,bay ridge,longer than a month but within six months
"$2,150 / 1BR Sponsor Co-op Apts. Luxury Doorman Bldng.",2150,1,flatbush,longer than a month but within six months
"$2,1oo XXL 1Bed 1Bath CONDO w/Elevator+Laundry+Dishwasher",2100,1,off austin street,longer than a month but within six months
"$2,25o 2Bed 1Bath CONDO (Corner Unit) w/VIEWS+Rooftop+Elevator+Laundry",2250,2,25mins to midtown - near local+express #7 trains & lirr,longer than an hour but within a day
"$2,25o 2Bed 1Bath w/Rooftop+Elevator+Laundry",2250,1,25mins to midtown - new condo building,longer than a month but within six months
"$2,25o 2Bed 1Bath’s w/Rooftop+Elevator+Laundry",2250,1,25mins to midtown - new condo building,longer than a month but within six months
"$2,500 / 3br - 3 Bedroom with 1 bathroom (Bensonhurst)",2500,1,bensonhurst,longer than a month but within six months
"$2,500 / Jr.4 with Parking Vermont Owners Fully Renovated",2500,1,rego park,longer than a month but within six months
"$2,800 Amazing large studio in chinatown very quiet and bright",2800,1,chinatown,longer than a month but within six months
"$2,8oo 2Bed 1Bath ~ 1st Floor ~ 1000sqr feet",2800,1,near local+express #7 trains ~ no credit? no problem!,longer than a month but within six months
"$2,O00.00 2-BDR BSMT APT IN ELMHURST FOR RENT EVERYTHING INCLUDED",2000,1,elmhurst,longer than a month but within six months
$2000 Sunny 1br 750sq.ft apt. In Forest Hills,2000,1,forest hills,longer than a month but within six months
$2100 / 2br - 2 Bedroom UTILITIES INCLUDED (Staten Island),2100,1,staten island,longer than a month but within six months
$2225 - Very Functional 1Br Apartment with Storage,2225,1,east hampton,longer than a month but within six months
$2245 - Cozy Studio with Amazing View in West Harlem,2245,1,west harlem,longer than a month but within six months
$2250 + Utilities 1 Bedroom Avail Immediately,2250,1,midtown,longer than a month but within six months
$2300 New 1 Bedroom apt in Freeport Long Island,2300,1,freeport,longer than a month but within six months
$2350 - 1Br Apartment with Great Layout,2350,1,east hampton,longer than a month but within six months
$2395 mo.  2br -1 bath apt for Rent,2395,1,hastings,longer than a month but within six months
$2500 - Perfect student apartment in Morningside Heights,2500,1,morningside heights,longer than a month but within six months
"$2500 for a Beautiful, 3bed, 2Bath apt.",2500,1,laurelton,longer than a month but within six months
$2500__3 HABITACIONES DE DORMIR__SUNSET PARK INDUSTRY CITY BAY RIDGE,2500,1,sunset park,longer than a month but within six months
$2550 - Bright 2 Br apartment with Hardwood Floor,2550,1,east hampton,longer than a month but within six months
$2575 Huge 2 Bedroom for Rent in Arden Street in INWOOD/Dyckman,2575,1,inwood,longer than a month but within six months
$2700 Dongan Hills SIUH,2700,1,siuh dongan hills/ ocean breeze,longer than a month but within six months
"$2700.00 - 3 br, 1 bath",2700,1,fleetwood,longer than a month but within six months
$2800 / 3br - 1200ft2 - 2 BR w/Formal DR or 3rd BR,2800,1,historic park hill - yonkers,longer than a month but within six months
$2900 - Beautiful 2 Bedroom apartment in Washington Heights,2900,1,washington heights,longer than a month but within six months
"$3,2oo 3Bed 2Bath w/BBQ.Pit+Yard+2.Balconies+Parking PETS OK!",3200,1,near r+m+#7 trains- off broadway,longer than a month but within six months
"$3,300 /1 BR Apt. with TERRACE-RENOVATED-Central Park Brownstone",3300,1,upper west side,longer than a month but within six months
"$3,500 3BR FURNISHED RENTAL  3-12 MO TERM",3500,1,bed stuy,longer than a month but within six months
"$3,75o 3Bed 2Bath DUPLEX w/Yard+Deck+Garden+Dishwasher+W/D.Hookups+...",3750,1,76th street off northern blvd - jackson heights/east elmhurs,longer than a month but within six months
"$3,800 / 1Br Luxury Apartment 10min to Midtown (LIC)",3800,1,midtown,longer than a month but within six months
"$3,9oo 3Bed 2Bath DUPLEX w/Yard+Deck+Garden+Dishwasher+W/D.Hookups+...",3900,1,76th street off northern blvd - jackson heights/east elmhurs,longer than a month but within six months
$3000 - Spacious 2Br in the heart of South Williamsburg,3000,1,williamsburg,longer than a month but within six months
$3000 / 3br - Beautiful 3 bedrooms,3000,1,georgetown,longer than a month but within six months
$3300  - Gutted and fully Renovated 2Br 1Ba in Morningside,3300,1,morningside heights,longer than a month but within six months
$3400 - Great 2 bedroom with Amazing View in West Harlem,3400,1,west harlem,longer than a month but within six months
$3400 - Renovated 2bedroom apartment on the Upper West Side,3400,1,upper west side,longer than a month but within six months
$3495 - 3 Bedroom Apartment with clever layout in Morningside Heights,3495,1,morningside heights,longer than a month but within six months
"$4,000 Brand New Luxury Harlem High Rise- Now Leasing - NO FEE!!",4000,1,harlem,longer than a month but within six months
$4000 - Gorgeous 1Br Apartment by Lincoln Square and UWS,4000,1,upper west side,longer than a month but within six months
$4500 - 4 bedroom apartment with great layout in Harlem,4500,1,harlem,longer than a month but within six months
$4500 - Spacious 1Bedroom apartment with great layout,4500,1,upper west side,longer than a month but within six months
$4750 - 4 Bedrooms apartment with Washer and Dryer,4750,1,harlem,longer than a month but within six months
$4800 - Pretty 2 Bedroom apartment near the heart of East Village,4800,2,east village,longer than an hour but within a day
$500.00 monthly rent for full apt. share if interested in a serious re,500,1,stamford,longer than a month but within six months
$720 / 1br - Rent Weekly BUSHWICK ENTIRE APARTMENT,720,1,buschwick,longer than a month but within six months
$727__Wall Street__near Ferry__Empire Outlets_St George__Saint George,727,1,st george,longer than an hour but within a day
$775 per room! ---- ASAP ONLY ----,2325,1,brooklyn,longer than a month but within six months
&& No Fee Bushwick 1BR PH With Huge Private Terrace! &&,2550,1,buschwick,longer than a month but within six months
&& Second Chance!! Large Windows Lots Of Sunlight &&,2775,1,buschwick,longer than a month but within six months
(NO FEE) Spacious 2 Bed 1 Bath Apartment Bensonhurst w/ Amenities!!,2900,1,bensonhurst,longer than a month but within six months
(SECION 8 OK)  APARTAMENTO DE UN DORMITORIO CERCA DEL  MONTEFIORES,2275,1,bronx,longer than a month but within six months
"(SECION 8 OK) 3 DORMITORIOS+ 2 BANOS CON YARDA, CASA PRIVADA",2800,1,williamsbridge,longer than a month but within six months
(SECION 8 OK) APARTAMENTO DE UN DORMITORIO/DECATUR AVE/GUN HILL RD,2275,1,bronx,longer than a month but within six months
(Two) New 3 plus bedroom units. Quiet location,3400,1,princes bay,longer than a month but within six months
* 2 BED W/ IN UNIT LAUNDRY * NATURAL LIGHT * HEAT AND HOT WATER INCL,2382,1,brooklyn,longer than a month but within six months
* 3 BED W/ PRIVATE OUTDOOR SPACE * NATURAL LIGHT * HUGE CLOSETS,3299,1,brooklyn,longer than a month but within six months
* 3 BED WITH IN UNIT LAUNDRY * DISHWASHER * TONS OF LIGHT,3999,1,brooklyn,longer than a month but within six months
* 3 BED WITH MASTER BATHROOM * NATURAL LIGHT * SEPARATE KITCHEN,2599,1,brooklyn,longer than a month but within six months
* 4 BED 2 BA * LAUNDRY * DISHWASHER * NATURAL LIGHT *,3666,1,ridgewood,longer than a month but within six months
* 4 BED WITH PRIVATE OUTDOOR SPACE * IN UNIT LAUNDRY * TALL CEILINGS *,4499,1,brooklyn,longer than a month but within six months
* BEDSTUY * 633 MARCY Amenity Building ** 3 BR,3700,1,bed stuy,longer than a month but within six months
* BRAND NEW BUILDING * PARKING AND LAUNDRY IN UNIT * BALCONY,2999,1,brooklyn,longer than a month but within six months
* Flatbush * 2.5 Bedroom ++ H/H Included - 425 EAST 35th,2400,1,flatbush,longer than a month but within six months
* HUGE PRIVATE BACKYARD * NEW RENOVATED BATHROOM * KING SIZED BEDROOMS,2399,1,brooklyn,longer than a month but within six months
* IN UNIT LAUNDRY * DISHWASHER * BALCONY * 1 BED,2599,1,crown heights,longer than a month but within six months
* LARGE AND SUNNY APARTMENT * CENTRAL A/C AND HEAT * MUST SEE *,2500,2,crown heights,longer than an hour but within a day
* MODERN APARTMENT * PRIVATE BALCONY * CENTRAL A/C AND HEAT * MUST SEE,3200,2,clinton hill,longer than an hour but within a day
* NEW PENTHOUSE 2 BED * BALCONY * ELEVATOR,6711,1,williamsburg,longer than a month but within six months
* NEWLY RENOVATED 3 BED * 2 BATHS * HUGE BEDROOMS *,2999,1,brooklyn,longer than a month but within six months
* NO FEE * IN UNIT LAUNDRY * HEAT&HW INCLUDED * 4 BED 1.5 BATH *,3199,1,brooklyn,longer than a month but within six months
* NO FEE 4 BED/2BA * IN UNIT LAUNDRY * HEAT AND HOT WATER INCLUDED *,5699,4,prospect heights,longer than a month but within six months
* PENTHOUSE STYLE 2 BED * PARKING * IN UNIT LAUNDRY,5499,1,brooklyn,longer than a month but within six months
* RENT STABILIZED 1 BED * HEAT AND HOT WATER * SEPARATE KITCHEN *,2088,1,ridgewood,longer than a month but within six months
"* STUNNING DUPLEX “2 BR. / 2 BTH."" + ROOF DECK / WEST 46 ST. & 9 AV.",4645,1,midtown,longer than a month but within six months
** $400 PRICE DROP! ** WILL NOT LAST! 3 BEDROOM EAST 50th & Second Ave,5495,1,midtown,longer than a month but within six months
** 2 BEDROOMS** **PARK TERRACE WEST** **ELEVATOR/LAUNDRY BUILDING**,2700,1,inwood,longer than a month but within six months
** 3 BED ^ONE TIME DEAL^ *LAUNDRY* GRAND ARMY PLAZA!!,4450,1,prospect heights,longer than a month but within six months
** BRAND NEW LUXURY STUDIO APARTMENT IN EAST FLATBUSH**NO FEE**,2277,1,flatbush,longer than a month but within six months
** FLATBUSH ** 221 Martense - 2.5 BED DUPLEX / 1.5 BATH,2600,1,flatbush,longer than a month but within six months
** GUT RENOVATION ** 3BED ** WASHER/DRYER & DISHWAHSER IN UNIT ** UTIL,3650,1,astoria,longer than a month but within six months
** LUXURY STUDIO ** GYM ** ROOFTOP ** LAUNDRY ** ASTORIA **,2426,1,astoria,longer than a month but within six months
** LUXURY STUDIO ** GYM ** ROOFTOP ** PARKING **,2426,1,astoria,longer than a month but within six months
"** MADISON AVENUE PRIME LOCATION* STUNNING, SUNNY, PRE-WAR STUDIO**",2475,1,upper east side,longer than a month but within six months
** NO Fee ** Large 3 Bedroom 2 Bath * PS144 in Forest Hills,2950,1,forest hills,longer than a month but within six months
*** 1 BEDROOM APARTMENT FOR RENT IN PRIVATE HOUSE***,1450,1,annadale,longer than a month but within six months
*** Great location *** Large bedrooms *** Huge living room ***,3400,1,astoria,longer than a month but within six months
********1Bedroom Apartment // 1CUARTO APARTAMENTO******,1500,1,floral park,longer than a month but within six months
*******High Rise Apartment For Rent in Forest Hills*****************,2800,2,forest hills,longer than an hour but within a day
*****1 BEDROOM APARTMENT FOR RENT*****,1600,1,wakefield,longer than a month but within six months
*****3 BEDROOM APARTMENT FOR RENT******,3200,1,wakefield,longer than a month but within six months
*****5 BEDROOM APARTMENT FOR RENT*****,3900,1,bronx,longer than a month but within six months
*****6 BEDROOM APARTMENT FOR RENT******,4454,1,wakefield,longer than a month but within six months
*****Renovated 3 bedroom/1.5 bath/ 2 balconies,2950,1,canarsie,longer than a month but within six months
****1CUARTO APARTAMENTO NUEVO <~~~~~~~,1500,1,queens,longer than a month but within six months
****LINDO STUDIO BASEMENT TODO INCLUIDO **MAIN STREET ***,1400,0,fresh meadows,longer than a month but within six months
***1Bedroom Apartment  Ready ⚡️⚡️⚡️⚡️,1750,1,richmond hill,longer than a month but within six months
"***3 BEDROOM APARTMENT, NO FEES***",2700,1,whitestone,longer than a month but within six months
***Charming Sun Washed Chelsea 1 Bed Loft***Prime Location,3395,1,chelsea,longer than a month but within six months
***HUG APARTMENT***NO FEES***SUPER LOCATION***GREAT PRICE***,2750,1,buschwick,longer than a month but within six months
***HUG APARTMENT***SUPER LOCATION***GREAT PRICE***,4000,1,williamsburg,longer than a month but within six months
***NO FEE*** LUXURY 1 BEDROOM STEPS FROM THE 4 & 5 EXPRESS TRAINS,2375,1,new york,longer than an hour but within a day
***NO FEE*** LUXURY ALCOVE STUDIO - 10 MINS TO MIDTOWN 4/5 EXPRS LINES,2157,1,new york,longer than an hour but within a day
"***New Listing! S.S Kitchen, Elevator, Gym, Laundry In Building***",2550,1,midtown,longer than a month but within six months
"***New Listing! S.S Kitchen, Natural Light, Private Outdoor Space***",2700,1,midtown,longer than a month but within six months
***PROGRAM ACCEPTED*** - UPDATED 3 BED / 1 BATH,3200,1,laurelton,longer than a month but within six months
**2-FAMILY HOUSE FOR RENT IN VALLEY STREAM**,4500,1,valley stream,longer than a month but within six months
"**AMAZING** WLSBRG APARTMENT W/ *GYM, ELEVATOR, LAUNDRY, BIKE ROOM*",3800,1,williamsburg,longer than a month but within six months
**APARTMENT FOR RENT IN FAR ROCKAWAY**,3300,1,far rockaway,longer than a month but within six months
**APARTMENT FOR RENT IN FOREST HILLS**,1600,1,forest hills,longer than a month but within six months
**APARTMENT FOR RENT IN FRESH MEADOWS**,1800,1,fresh meadows,longer than a month but within six months
**APARTMENT FOR RENT IN LONG BEACH**,3200,1,long beach,longer than a month but within six months
**APARTMENT FOR RENT IN LYNBROOK**,3500,1,lynbrook,longer than a month but within six months
**APARTMENT FOR RENT IN VALLEY STREAM**,3600,1,valley stream,longer than a month but within six months
**AWESOME** 3 BED 2 FULL BATH IN PRIME BUSHWICK!,3000,1,buschwick,longer than a month but within six months
**BEAUTIFUL & HUGE** 4BED 2FULL BATH IN RIDGEWOOD!,3800,1,ridgewood,longer than a month but within six months
**BEAUTIFUL 2 BED/ 1 BATH APARTMENT IN PRIME WILLIAMSBURG**,2700,1,williamsburg,longer than a month but within six months
**BEAUTIFUL 3 BED/ 1 BATH APT IN PROSPECT LEFFERTS GARDENS**,2950,1,leffert gardens,longer than a month but within six months
**BEAUTIFUL NEWLY RENOVATED 2 BED/ 1 BATH APT IN OCEAN HILL**NO FEE**,2500,1,ocean hill,longer than a month but within six months
**BEAUTIFUL RENOVATED STUDIO APARTMENT IN PRIME CLINTON HILL**,2200,1,clinton hill,longer than a month but within six months
**BEAUTIFUL SPACIOUS 2 BED/ 1 BATH APARTMENT IN SUNSET PARK**,2300,1,sunset park,longer than a month but within six months
**BEAUTIFUL SUNNY 2 BED/ 1 BATH APARTMENT IN PRIME CROWN HEIGHTS**,2900,1,crown heights,longer than a month but within six months
**BEAUTIFUL SUNNY 3 BED/ 1 BATH APARTMENT IN CROWN HEIGHTS**,2850,1,crown heights,longer than a month but within six months
**BEAUTIFUL SUNNY 3 BED/ 1 BATH APT IN PRIME PARK SLOPE**NO FEE**,4000,1,park slope,longer than a month but within six months
**BRAND NEW 2 BED/ 2 BATH APT IN EAST FLATBUSH**NO FEE**,2590,1,flatbush,longer than a month but within six months
**BRAND NEW 3 BED/ 1 BATH APT IN WILLIAMSBURG WITH AMENITIES*NO FEE**,4000,1,williamsburg,longer than a month but within six months
**BRAND NEW GORGEOUS 2 BED/ 2 BATH APT IN BED-STUY**NO FEE**,3200,1,bed stuy,longer than a month but within six months
**BRAND NEW LUXURY 1 BED/ 1 BATH IN EAST WILLIAMSBURG**,2995,1,williamsburg,longer than an hour but within a day
**BRAND NEW RIDGEWOOD TOWNHOUSE**,3550,1,ridgewood,longer than a month but within six months
**BRAND NEW STUNNING 2 BED/ 2 BATH APT IN EAST WILLIAMSBURG*NO FEE**,3460,1,williamsburg,longer than a month but within six months
**BRAND NEW** BEAUTIFUL 2Bed 2Ba APARTMENT *W/D IN UNIT* WILLIAMSBURG,3200,1,williamsburg,longer than a month but within six months
**BUSHWICK**CHARMING 3 BED/1 BATH**LOTS OF SUNLIGHT**TRAINS**LAUNDRY**,2700,1,buschwick,longer than a month but within six months
**Brand new 4 bed/ 2 bath in Prime East Village w/ W/D avail NOW!**,7995,4,east village,longer than a day but within a month
**Bright under renovation spacious 2BR or 3BR!W shared outdoor space*,2600,1,crown heights,longer than a month but within six months
**CROWN HEIGHTS**3 BED/1 BATH**PRIVATE TERRACE**,3000,1,crown heights,longer than a month but within six months
**DOWNTOWN BROOKLYN**3 BEDROOM/2 BATH**LAUNDRY**ROOF DECK,5750,3,downtown,longer than an hour but within a day
**GORGEOUS 2 BED/ 1 BATH APARTMENT IN BED-STUY*NO FEE**,2700,1,bed stuy,longer than a month but within six months
**GORGEOUS 2 BED/ 1 BATH APARTMENT IN BUSHWICK WITH AMENITIES**,3000,1,buschwick,longer than a month but within six months
**GORGEOUS 2 BED/ 1 BATH APT IN PROSPECT LEFFERTS GARDENS*NO FEE**,2500,1,leffert gardens,longer than a month but within six months
**GORGEOUS 2 BED/1 BATH APT WITH AMENITIES NEAR PROSPECT PARK*NO FEE**,4375,1,crown heights,longer than a month but within six months
**GORGEOUS 3 BED/ 1 BATH APARTMENT IN EAST FLATBUSH*NO FEE**,2600,1,flatbush,longer than a month but within six months
**GORGEOUS 3 BED/ 1 BATH APT IN EAST FLATBUSH WITH AMENITIES*NO FEE**,2600,1,flatbush,longer than a month but within six months
**GORGEOUS MASSIVE 3 BED/ 1 BATH APARTMENT IN PRIME WILLIAMSBURG**,3950,1,williamsburg,longer than a month but within six months
**GORGEOUS MASSIVE 4 BED/ 2 BATH APT IN PRIME BUSHWICK*NO FEE**,4125,1,buschwick,longer than a month but within six months
**GORGEOUS NEWLY RENOVATED 3 BED/ 1 BATH APT IN PLG**NO FEE**,2945,1,leffert gardens,longer than a month but within six months
**GORGEOUS NEWLY RENOVATED 3 BED/ 1 BATH APT IN PRIME WILLIAMSBURG**,3800,1,williamsburg,longer than a month but within six months
**GORGEOUS NEWLY RENOVATED 4 BED/ 2 BATH APT IN BUSHWICK**NO FEE**,4000,1,buschwick,longer than a month but within six months
**GORGEOUS STUDIO APT IN LOVELY BROWNSTONE IN BED-STUY**,2100,1,bed stuy,longer than a month but within six months
**GORGEOUS SUNNY 2 BED/ 1 BATH IN CROWN HEIGHTS*NEAR PROSPECT PARK**,3200,2,crown heights,longer than an hour but within a day
**GORGEOUS SUNNY 3 BED/ 1 BATH APARTMENT IN CROWN HEIGHTS**,2750,1,crown heights,longer than a month but within six months
**GORGEOUS SUNNY 3 BED/ 1 BATH APARTMENT IN CROWN HEIGHTS**NO FEE**,2850,1,crown heights,longer than a month but within six months
**GORGEOUS SUNNY 3 BED/ 1 BATH APT IN BEAUTIFUL FORT GREENE**,5500,1,fort greene,longer than a month but within six months
**GORGEOUS SUNNY 3 BED/ 1 BATH APT IN PRIME PARK SLOPE**NO FEE**,4000,1,park slope,longer than a month but within six months
"**GUT RENO 3 BED 2 BATH, PRIVATE OUTDOOR SPACE!!",3750,1,leffert gardens,longer than a month but within six months
**HOUSE FOR RENT IN BALDWIN**,3999,1,baldwin,longer than a month but within six months
**HOUSE FOR RENT IN FOREST HILLS**,4000,1,forest hills,longer than a month but within six months
**HOUSE FOR RENT IN FRESH MEADOWS**,5500,1,fresh meadows,longer than a month but within six months
**HOUSE FOR RENT IN S. OZONE PARK**,4500,1,ozone park,longer than a month but within six months
"**HUGE STUDIOSPACIOUS,WASHER, DRYER , DISHWASHER, STEPS TO TRAIN, NICE",1650,1,prospect park,longer than a month but within six months
"**HUGE** 3 BED 1 BATH IN AMAZING LOCATION! *GYM,LAUNDRY,BIKEROOM,ROOF*",3100,1,buschwick,longer than a month but within six months
**Huge Duplex Apt**Private Back**Laundry in bldg**Roof Access**,3800,1,crown heights,longer than a month but within six months
**INSANE Upper West Side studio loft!**,3500,1,upper west side,longer than a month but within six months
**LARGE LIVIG ROOM** SPACIOUS 3 BEDROOM IN STUYVSANT HEIGHT***NO FEE,3000,1,stuvyesant heights,longer than a month but within six months
**LUXURY 2 BED/ 2 BATH APT WITH AMENITIES ADJACENT TO PROSPECT PARK**,3500,1,flatbush,longer than a month but within six months
**LUXURY SUNNY 3 BED/ 2.5 BATH APT IN EAST WILLIAMSBURG*NO FEE**,4500,1,williamsburg,longer than a month but within six months
**Laundry in Unit** Sunny 3 Bed 2 Bath!!,4400,1,south slope,longer than a month but within six months
**MASSIVE** 3 BED 2 BATH ON FIRST FLOOR IN CLINTON HILL!!,4000,1,clinton hill,longer than a month but within six months
**MASSIVE** FIRST FLOOR APARTMENT IN CROWN HEIGHTS!,2250,1,crown heights,longer than a month but within six months
**NEWLY RENOVATED 1 BED/ 1 BATH APT NEAR PROSPECT PARK**NO FEE**,3000,1,prospect heights,longer than a month but within six months
**NEWLY RENOVATED SPACIOUS 3 BED/ 2 BATH APT IN CROWN HEIGHTS*NO FEE**,3000,1,crown heights,longer than a month but within six months
**NO BROKER FEE**TOP FLOOR**WALLS ALLOWED**NATURAL LIGHT,4000,1,financial district,longer than a month but within six months
"**NO FEE** Get to school, work, & your fave cafes and bars in no time!",2775,1,buschwick,longer than a month but within six months
**NO FEE** LUXURY 3 BED/2 BATH W/D in UNIT STEPS FROM 4/5 EXPRS TRAINS,3677,3,new york,longer than an hour but within a day
**ONE MONTHS FREE ** SWIMMING POOL **WASHER/DRYER IN THE UNIT,3000,1,financial district,longer than a month but within six months
**ONE OF A KIND 3 BED/ 2 BATH APARTMENT IN DOWNTOWN BROOKLYN**,5800,1,downtown,longer than a month but within six months
**ONE OF A KIND 3 BED/ 2 BATH APT IN DOWNTOWN BROOKLYN**,5800,1,downtown,longer than a month but within six months
**PENTHOUSE**  WINDOWS& SKYLIGHTS THROUGHOUT! **2 LIVING ROOMS**,3500,1,brooklyn,longer than a month but within six months
**PRIME BUSHWICK**2 BED/2 BATH**TERRACE**TRAINS**ELEVATOR,3600,1,buschwick,longer than a month but within six months
**Private Backyard!! 2 Bed with Natural Light,2500,1,brooklyn,longer than a month but within six months
"**ROOM ONLY, SPACIOUS,WASHER, DRYER , DISHWASHER, STEPS TO TRAIN, NICE",900,1,crown heights,longer than a month but within six months
**Recently renovated 2nd floor 3-bedroom unit**,2650,1,yonkers,longer than a month but within six months
**Renovated & Charming Murray Hill one bed!**,2800,1,murray hill,longer than a month but within six months
**Renovated 1BR Close to kings County Hospital !In a well kept 3 fami,1750,1,flatbush,longer than a month but within six months
**Room With Private Bathroom**,1250,1,bed stuy,longer than a month but within six months
**SEXY BAY WIDNOWS** PRIME BEDSTUY 1.5 BED!!! STABILIZED!!,2350,1,brooklyn,longer than a month but within six months
**SPACIOUS CROWN HEIGHTS**2.5 BED/1 BATH**PRIVATE TERRACE**,2800,2,crown heights,longer than an hour but within a day
**STUDIO FOR RENT IN FOREST HILLS**,1400,1,forest hills,longer than a month but within six months
**STUDIO FOR RENT IN FRESH MEADOWS**,1600,1,fresh meadows,longer than a month but within six months
**STUNNING 2 BED/ 1 BATH APARTMENT IN BED-STUY*NO FEE**,2700,1,bed stuy,longer than a month but within six months
**STUNNING 2 BED/ 1 BATH APT WITH AMENITIES IN EAST FLATBUSH**,2550,1,farragut,longer than a month but within six months
**STUNNING 2 BED/ 2 BATH APARTMENT IN PRIME BED-STUY**,2400,1,bed stuy,longer than a month but within six months
**STUNNING 2 BED/ 2 BATH APARTMENT IN PRIME BUSHWICK**NO FEE**,3450,1,buschwick,longer than a month but within six months
**STUNNING 3 BED/ 1 BATH APARTMENT IN BUSHWICK**,2700,1,buschwick,longer than a month but within six months
